Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,42.31,2.572,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.0963582,8.106,False
1,2010-02-12,38.51,2.548,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.2421698,8.106,True
1,2010-02-19,39.93,2.514,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.2891429,8.106,False
1,2010-02-26,46.63,2.561,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.3196429,8.106,False
1,2010-03-05,46.5,2.625,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.3501429,8.106,False
1,2010-03-12,57.79,2.667,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.3806429,8.106,False
1,2010-03-19,54.58,2.72,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.215635,8.106,False
1,2010-03-26,51.45,2.732,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.0180424,8.106,False
1,2010-04-02,62.27,2.719,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.8204499,7.808,False
1,2010-04-09,65.86,2.77,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.6228574,7.808,False
1,2010-04-16,66.32,2.808,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.4887,7.808,False
1,2010-04-23,64.84,2.795,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.4391228,7.808,False
1,2010-04-30,67.41,2.78,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.3895456,7.808,False
1,2010-05-07,72.55,2.835,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.3399684,7.808,False
1,2010-05-14,74.78,2.854,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.3374261,7.808,False
1,2010-05-21,76.44,2.826,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.6170934,7.808,False
1,2010-05-28,80.44,2.759,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,210.8967606,7.808,False
1,2010-06-04,80.69,2.705,8.467867433842262,5.944661157993283,3.63705970538414,7.071085129594491,7.912170434845891,211.1764278,7.808,False
